id,name,fuel,capex,fom,lifetime,discount_rate,heat_rate_base,heat_rate_incr,node,max_build,min_build,initial_capacity,unit_type,scenarios
40,MURRAY08,water,0,69.51,0,0,0,0,VIC,0,0,0.095,flexible,
41,MURRAY09,water,0,69.51,0,0,0,0,VIC,0,0,0.095,flexible,
42,MURRAY10,water,0,69.51,0,0,0,0,VIC,0,0,0.095,flexible,
43,MURRAY11,water,0,69.51,0,0,0,0,VIC,0,0,0.138,flexible,
44,MURRAY12,water,0,69.51,0,0,0,0,VIC,0,0,0.138,flexible,
45,MURRAY13,water,0,69.51,0,0,0,0,VIC,0,0,0.138,flexible,
46,MURRAY14,water,0,69.51,0,0,0,0,VIC,0,0,0.138,flexible,
47,WKIEWA1_1,water,0,69.51,0,0,0,0,VIC,0,0,0.017,flexible,
48,WKIEWA1_2,water,0,69.51,0,0,0,0,VIC,0,0,0.017,flexible,
49,WKIEWA2_1,water,0,69.51,0,0,0,0,VIC,0,0,0.017,flexible,
50,WKIEWA2_2,water,0,69.51,0,0,0,0,VIC,0,0,0.017,flexible,
51,BASTYAN,water,0,69.51,0,0,0,0,TAS,0,0,0.0799,flexible,
52,CA111-1,water,0,69.51,0,0,0,0,TAS,0,0,0.027,flexible,
53,CA112-2,water,0,69.51,0,0,0,0,TAS,0,0,0.024,flexible,
54,CETHANA,water,0,69.51,0,0,0,0,TAS,0,0,0.085,flexible,
55,DEVILS_G,water,0,69.51,0,0,0,0,TAS,0,0,0.06,flexible,
56,FISHER,water,0,69.51,0,0,0,0,TAS,0,0,0.0432,flexible,
57,GO181-1,water,0,69.51,0,0,0,0,TAS,0,0,0.174,flexible,
58,GO182-2,water,0,69.51,0,0,0,0,TAS,0,0,0.174,flexible,
59,GO183-3,water,0,69.51,0,0,0,0,TAS,0,0,0.174,flexible,
60,JBUTTERS,water,0,69.51,0,0,0,0,TAS,0,0,0.144,flexible,
61,LI111-1,water,0,69.51,0,0,0,0,TAS,0,0,0.0279,flexible,
62,LI112-2,water,0,69.51,0,0,0,0,TAS,0,0,0.0279,flexible,
63,LI113-3,water,0,69.51,0,0,0,0,TAS,0,0,0.0315,flexible,
64,LK_ECHO,water,0,69.51,0,0,0,0,TAS,0,0,0.0324,flexible,
65,LM111-1,water,0,69.51,0,0,0,0,TAS,0,0,0.051,flexible,
66,MACKNTSH,water,0,69.51,0,0,0,0,TAS,0,0,0.0799,flexible,
67,MEADOWBK,water,0,69.51,0,0,0,0,TAS,0,0,0.04,flexible,
68,PO161-1,water,0,69.51,0,0,0,0,TAS,0,0,0.06,flexible,
69,PO162-2,water,0,69.51,0,0,0,0,TAS,0,0,0.06,flexible,
70,PO163-3,water,0,69.51,0,0,0,0,TAS,0,0,0.06,flexible,
71,PO164-4,water,0,69.51,0,0,0,0,TAS,0,0,0.06,flexible,
72,PO165-5,water,0,69.51,0,0,0,0,TAS,0,0,0.06,flexible,
73,PO166-6,water,0,69.51,0,0,0,0,TAS,0,0,0.06,flexible,
74,REECE1,water,0,69.51,0,0,0,0,TAS,0,0,0.1356,flexible,
75,REECE2,water,0,69.51,0,0,0,0,TAS,0,0,0.1356,flexible,
76,TA111-1,water,0,69.51,0,0,0,0,TAS,0,0,0.04,flexible,
77,TA111-2,water,0,69.51,0,0,0,0,TAS,0,0,0.04,flexible,
78,TA111-3,water,0,69.51,0,0,0,0,TAS,0,0,0.04,flexible,
79,TA112-4,water,0,69.51,0,0,0,0,TAS,0,0,0.04,flexible,
80,TA112-5,water,0,69.51,0,0,0,0,TAS,0,0,0.04,flexible,
81,TA112-6,water,0,69.51,0,0,0,0,TAS,0,0,0.04,flexible,
82,TR111-1,water,0,69.51,0,0,0,0,TAS,0,0,0.02,flexible,
83,TR111-2,water,0,69.51,0,0,0,0,TAS,0,0,0.02,flexible,
84,TR112-3,water,0,69.51,0,0,0,0,TAS,0,0,0.0265,flexible,
85,TR112-4,water,0,69.51,0,0,0,0,TAS,0,0,0.0265,flexible,
86,TRIBUTE,water,0,69.51,0,0,0,0,TAS,0,0,0.0828,flexible,
87,TU111-1,water,0,69.51,0,0,0,0,TAS,0,0,0.025,flexible,
88,TU112-2,water,0,69.51,0,0,0,0,TAS,0,0,0.025,flexible,
89,TU113-3,water,0,69.51,0,0,0,0,TAS,0,0,0.025,flexible,
90,TU114-4,water,0,69.51,0,0,0,0,TAS,0,0,0.025,flexible,
91,TU115-5,water,0,69.51,0,0,0,0,TAS,0,0,0.025,flexible,
92,WI111-1,water,0,69.51,0,0,0,0,TAS,0,0,0.0306,flexible,
93,WY111-1,water,0,69.51,0,0,0,0,TAS,0,0,0.0128,flexible,
94,WY111-2,water,0,69.51,0,0,0,0,TAS,0,0,0.0128,flexible,
95,WY111-3,water,0,69.51,0,0,0,0,TAS,0,0,0.0128,flexible,
96,BANGOWF1,wind,0,26.73,0,0,0,0,SNSW,0,0,0.159,wind,
97,BANGOWF2,wind,0,26.73,0,0,0,0,SNSW,0,0,0.0848,wind,
98,BOCORWF1,wind,0,26.73,0,0,0,0,SNSW,0,0,0.11318,wind,
99,BODWF1,wind,0,26.73,0,0,0,0,CNSW,0,0,0.11319,wind,
100,CAPTL_WF,wind,0,26.73,0,0,0,0,SNSW,0,0,0.1407,wind,
101,COLWF01,wind,0,26.73,0,0,0,0,SNSW,0,0,0.2187,wind,
102,CROOKWF2,wind,0,26.73,0,0,0,0,SNSW,0,0,0.091,wind,
103,CRURWF1,wind,0,26.73,0,0,0,0,CNSW,0,0,0.13801,wind,
104,CULLRGWF,wind,0,26.73,0,0,0,0,SNSW,0,0,0.03,wind,
